type,group,name,label,date_label,x,y,paper_id,year_month,coarse_topic,target_x,target_y
main,主干,DeepSeek LLM,"DeepSeek
LLM",2024.01,0.12,0.505,2401.02954,2024-01,主模型,,
main,主干,DeepSeek-V2,V2,2024.05,0.265,0.505,2405.04434,2024-05,主模型,,
main,主干,DeepSeek-V3 Technical Report,V3,2024.12,0.42,0.505,2412.19437,2024-12,主模型,,
main,主干,DeepSeek-R1,R1,2025.01,0.53,0.505,2501.12948,2025-01,推理/RL,,
main,主干,DeepSeek-V3.2,V3.2,2025.12,0.695,0.505,2512.02556,2025-12,主模型,,
main,主干,DeepSeek-V4,"DeepSeek
V4",2026.05,0.865,0.505,V4-PDF,2026-05,主模型,,
branch,系统 / 效率支流,Sparse Attention,长上下文效率,,0.12,0.705,,,,0.69,0.538
branch,系统 / 效率支流,mHC,训练主干稳定,,0.285,0.735,2512.24880,2025-12,系统/效率,0.82,0.54
branch,系统 / 效率支流,Cond. Memory,显存优化,,0.438,0.705,,,,0.85,0.542
branch,系统 / 效率支流,DualPath,缓存 / 路径重构,,0.585,0.735,2602.21548,2026-02,系统/效率,0.875,0.538
branch,系统 / 效率支流,Insights into V3,模型维稳复盘,,0.3,0.648,,,,0.43,0.54
branch,数学 / 推理支流,DeepSeekMath 系列,数学能力底座,,0.705,0.71,,,,0.515,0.54
branch,数学 / 推理支流,DS-Prover 系列,可验证推理,,0.86,0.725,,,,0.56,0.54
branch,数学 / 推理支流,Reward Model,奖励建模,,0.82,0.66,,,,0.785,0.532
branch,多模态 / OCR支流,DS-VL / VL2,视觉理解,,0.135,0.3,,,,0.42,0.472
branch,多模态 / OCR支流,Janus / Janus-Pro,生成与理解,,0.318,0.265,,,,0.6,0.474
branch,多模态 / OCR支流,DS-OCR / OCR 2,复杂文档视觉,,0.5,0.31,,,,0.835,0.472
branch,代码支流,DS-Coder 系列,代码能力底座,,0.78,0.3,,,,0.34,0.474
