paper_id,short_title,year_month,coarse_topic,main_model_stage,title,source,source_url,raw_order,raw_author_name,clean_author_name,canonical_changed,v4_group,departed_mark,manual_note
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,2,Xiao Bi,Xiao Bi,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,3,Deli Chen,Deli Chen,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,4,Guanting Chen,Guanting Chen,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,5,Shanhuang Chen,Shanhuang Chen,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,6,Damai Dai,Damai Dai,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,7,Chengqi Deng,Chengqi Deng,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,8,Honghui Ding,Honghui Ding,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,9,Kai Dong,Kai Dong,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,10,Qiushi Du,Qiushi Du,FALSE,,,
2401.02954,DeepSeek LLM,2024-01,主模型,V1/LLM,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,hf_api,https://huggingface.co/papers/2401.02954,11,Zhe Fu,Zhe Fu,FALSE,,,
