author,paper_count,topic_count,topics,first_seen,last_seen,papers
Chong Ruan,18,6,主模型、代码、多模态、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-VL；DeepSeek-Prover；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；Native Sparse Attention；DeepSeek-Prover-V2；Generalist Reward Modeling；Insights into DeepSeek-V3；DeepSeek-V3.2；DeepSeek-V4
Zhenda Xie,16,5,主模型、代码、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-Coder；DeepSeek-VL；DeepSeek-V2；DeepSeek-Coder-V2；Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；Native Sparse Attention；mHC；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Damai Dai,14,5,主模型、代码、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；ESFT；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Native Sparse Attention；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Yukun Li,14,7,OCR、主模型、代码、多模态、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-Coder；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-OCR；DeepSeek-V3.2；Conditional Memory；DeepSeek-OCR 2；DeepSeek-V4
Wenfeng Liang,13,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-Coder；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Yu Wu,13,6,主模型、代码、多模态、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-Coder；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；ESFT；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Generalist Reward Modeling；DeepSeek-V3.2；DeepSeek-V4
Huazuo Gao,12,5,主模型、代码、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Native Sparse Attention；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；DeepSeek-V4
Qihao Zhu,12,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeekMath；DeepSeek-Prover；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Zhihong Shao,12,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeekMath；DeepSeek-Prover；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Chengqi Deng,11,5,主模型、代码、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-VL；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；DeepSeek-V4
Daya Guo,11,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeekMath；DeepSeek-Prover；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Liyue Zhang,11,5,主模型、代码、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；Insights into DeepSeek-V3；DeepSeek-V3.2；DualPath；DeepSeek-V4
Runxin Xu,11,5,主模型、代码、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；ESFT；DeepSeek-V3 Technical Report；DeepSeek-R1；Generalist Reward Modeling；DeepSeek-V3.2；DeepSeek-V4
Shirong Ma,11,5,主模型、代码、推理/RL、数学/证明、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；Generalist Reward Modeling；Insights into DeepSeek-V3；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Xingkai Yu,11,4,主模型、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Bingxuan Wang,10,5,主模型、代码、多模态、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-VL；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Chenggang Zhao,10,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；DeepSeek-V4
Dejian Yang,10,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Jiashi Li,10,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；DeepSeek-V4
Junxiao Song,10,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Kai Dong,10,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeek-VL；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Wangding Zeng,10,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；mHC；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Wen Liu,10,3,主模型、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-VL；DeepSeek-V2；Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；DeepSeek-V4
Yaofeng Sun,10,4,OCR、主模型、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-VL；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-OCR；DeepSeek-V3.2；DeepSeek-OCR 2；DeepSeek-V4
Deli Chen,9,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；ESFT；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Panpan Huang,9,3,主模型、推理/RL、系统/效率,2024-01,2026-05,DeepSeekMoE；DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；DeepSeek-V3.2；DualPath；DeepSeek-V4
Peiyi Wang,9,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Generalist Reward Modeling；DeepSeek-V3.2；DeepSeek-V4
Shangyan Zhou,9,3,主模型、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；mHC；DeepSeek-V3.2；DualPath；DeepSeek-V4
Wenjun Gao,9,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Xiao Bi,9,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeekMath；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Fuli Luo,8,5,主模型、代码、推理/RL、数学/证明、系统/效率,2024-01,2025-01,DeepSeekMoE；DeepSeek LLM；DeepSeek-Coder；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1
Hanwei Xu,8,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-VL；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Haowei Zhang,8,4,主模型、多模态、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeekMath；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Kang Guan,8,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Liang Zhao,8,4,主模型、多模态、推理/RL、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Native Sparse Attention；mHC；DeepSeek-V3.2；DeepSeek-V4
Qiushi Du,8,4,主模型、代码、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Wentao Zhang,8,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DualPath；DeepSeek-V4
Xiaokang Chen,8,3,主模型、多模态、推理/RL,2024-05,2026-05,DeepSeek-V2；Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；DeepSeek-V4
Xin Xie,8,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yishi Piao,8,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuxiang You,8,4,主模型、代码、多模态、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuxuan Liu,8,4,主模型、推理/RL、数学/证明、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；Insights into DeepSeek-V3；DeepSeek-V3.2；DualPath；DeepSeek-V4
Zhewen Hao,8,4,主模型、代码、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Zhibin Gou,8,4,主模型、代码、推理/RL、数学/证明,2024-06,2026-05,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Guanting Chen,7,3,主模型、代码、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-Coder；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
