paper_id,year_month,short_title,coarse_topic,author_count,author_count_for_chart,main_model_stage,count_note
2401.02954,2024-01,DeepSeek LLM,主模型,86,86,V1/LLM,
2401.14196,2024-01,DeepSeek-Coder,代码,13,13,,
2401.06066,2024-01,DeepSeekMoE,系统/效率,17,17,,
2402.03300,2024-02,DeepSeekMath,数学/证明,11,11,,
2403.05525,2024-03,DeepSeek-VL,多模态,15,15,,
2405.14333,2024-05,DeepSeek-Prover,数学/证明,9,9,,
2405.04434,2024-05,DeepSeek-V2,主模型,156,156,V2,
2406.11931,2024-06,DeepSeek-Coder-V2,代码,39,39,,
2407.01906,2024-07,ESFT,系统/效率,6,6,,
2408.08152,2024-08,DeepSeek-Prover-V1.5,数学/证明,17,17,,
2410.13848,2024-10,Janus,多模态,11,11,,
2412.19437,2024-12,DeepSeek-V3 Technical Report,主模型,197,197,V3,
2412.10302,2024-12,DeepSeek-VL2,多模态,27,27,,
2501.12948,2025-01,DeepSeek-R1,推理/RL,197,197,R1,
2501.17811,2025-01,Janus-Pro,多模态,8,8,,
2502.11089,2025-02,Native Sparse Attention,系统/效率,15,15,,
2504.21801,2025-04,DeepSeek-Prover-V2,数学/证明,18,18,,
2504.02495,2025-04,Generalist Reward Modeling,推理/RL,8,8,,
2505.09343,2025-05,Insights into DeepSeek-V3,系统/效率,15,15,,
2510.18234,2025-10,DeepSeek-OCR,OCR,3,3,,
2511.22570,2025-11,DeepSeekMath-V2,数学/证明,9,9,,
2512.02556,2025-12,DeepSeek-V3.2,主模型,262,262,V3.2,
2512.24880,2025-12,mHC,系统/效率,20,20,,
2601.07372,2026-01,Conditional Memory,系统/效率,14,14,,
2601.20552,2026-01,DeepSeek-OCR 2,OCR,3,3,,
2602.21548,2026-02,DualPath,系统/效率,13,13,,
V4-PDF,2026-05,DeepSeek-V4,主模型,317,269,V4,V4 总名单 317；作图使用 Research & Engineering 269
