排名,英文姓名,中文姓名 (含音译),论文篇数,背景介绍 (院校/硕博/曾工作大厂/学术方向与成果)
1,Zhenda Xie,解振达,14,DeepSeek 重要科研人员，专注于基础模型、自监督学习等领域。参与了 DeepSeek-Coder、VL、V3 及 R1 等核心项目。
2,Damai Dai,代大迈/代达劢,13,北京大学博士（2024），师从穗志方教授。曾获 EMNLP 2023 最佳长论文奖。元老级研发，参与了 V1 到 V3 的全程研发。
3,C. Ruan,阮翀,13,核心技术骨干，深度参与了 DeepSeek 系列模型（V3、R1等）的架构设计。2026年离职加入元戎启行担任首席科学家。
4,W. Liang,梁文峰,11,DeepSeek 创始人兼 CEO。浙江大学硕士。幻方量化创始人，技术理想主义者，主导算力布局与战略方向。
5,Z. Ren,任仲 (音译),11,DeepSeek 活跃研发人员，参与多篇关于基座模型和推理的论文。
6,Zhihong Shao,邵智宏,11,清华大学交互式人工智能（CoAI）课题组博士生，师从黄民烈教授。数学推理与强化学习（GRPO）核心贡献者。
7,Huazuo Gao,高华佐,10,北京大学物理系（保送）。MLA（Multi-head Latent Attention）架构创新的核心贡献者，极具工程实力。
8,Daya Guo,郭达亚,10,中山大学博士（2023），师从尹剑飞。曾在微软亚洲研究院（MSRA）联合培养。代码智能专家。2026年离职。
9,Qihao Zhu,朱其豪,10,北京大学博士。GRPO 算法创新的核心贡献者之一，对 R1 的强化学习训练至关重要。
10,C. Deng,邓超 (音译),9,DeepSeek 研发人员，参与基座模型与多模态领域的研发。
11,Shirong Ma,马世荣 (音译),9,DeepSeek 研发人员，活跃于基座模型与代码智能方向。
12,Yu Wu,吴宇 (音译),9,DeepSeek 研发人员，参与多篇关于代码与数学推理的论文。
13,Liyue Zhang,张利月 (音译),9,DeepSeek 研发人员，参与基座模型与定理证明等方向。
14,Jiashi Li,李佳实 (音译),8,DeepSeek 研发人员，专注于 MoE 架构与基座模型。
15,Wen Liu,刘文 (音译),8,多模态核心研究员，参与 Janus 及 DeepSeek-VL 系列的研发。
16,Jun-Mei Song,宋俊晓/宋俊梅,8,提出了 GRPO（强化学习算法），在模型训练和蒸馏方面扮演重要角色。
17,Yaofeng Sun,孙耀峰 (音译),8,DeepSeek 研发人员，参与多模态与基座模型方向。
18,Bing-Li Wang,王冰利 (音译),8,DeepSeek 研发人员，活跃于多模态与基座模型研发。
19,Dejian Yang,杨德健,8,DeepSeek 核心研发成员，被多次提及为多篇重要论文的核心贡献者。
20,Chenggang Zhao,赵成钢,8,负责模型训练及推理基础架构，确保高效低成本的算力实现。
21,Wangding Zeng,曾旺丁,8,北京邮电大学硕士。MLA 架构及模型创新的重要贡献者。
22,Xingkai Yu,余星凯 (音译),8,DeepSeek 研发人员，参与多模态与基座模型方向。
23,Deli Chen,陈德利 (音译),7,DeepSeek 研发人员，活跃于 MoE 与微调方法研究。
24,Kai Dong,董凯 (音译),7,DeepSeek 研发人员，参与代码智能与多模态方向。
25,Wenjun Gao,高文君 (音译),7,DeepSeek 研发人员，参与定理证明与基座模型方向。
